date,SPY,IEF,TLT,GLD,DBC
2006-02-06,86.93225860595703,48.517391204833984,47.4620361328125,56.720001220703125,19.18509864807129
2006-02-07,86.16316986083984,48.45890426635742,47.237831115722656,54.599998474121094,18.630155563354492
2006-02-08,86.94601440429688,48.429656982421875,47.128334045410156,54.83000183105469,18.550880432128906
2006-02-09,86.8017807006836,48.47642517089844,47.342105865478516,56.18000030517578,18.72528839111328
2006-02-10,86.95970153808594,48.336036682128906,47.0814323425293,54.790000915527344,18.3843994140625
2006-02-13,86.8017807006836,48.336036682128906,47.08660888671875,53.720001220703125,18.0989990234375
2006-02-14,87.72190856933594,48.26580810546875,46.91977310180664,54.4900016784668,17.94837188720703
2006-02-15,88.03092193603516,48.353553771972656,47.03447341918945,53.7599983215332,17.686758041381836
2006-02-16,88.69014739990234,48.33012771606445,47.04489517211914,54.52000045776367,17.900806427001953
2006-02-17,88.44975280761719,48.49398422241211,47.420310974121094,54.959999084472656,18.15449333190918
2006-02-21,88.2300796508789,48.435489654541016,47.342105865478516,55.119998931884766,18.45574951171875
2006-02-22,88.76564025878906,48.616851806640625,47.665374755859375,55.34000015258789,18.15449333190918
2006-02-23,88.63517761230469,48.499847412109375,47.545433044433594,54.63999938964844,18.091073989868164
2006-02-24,88.86176300048828,48.44133758544922,47.47244644165039,55.63999938964844,18.582590103149414
2006-02-27,88.89613342285156,48.34774398803711,47.39425277709961,55.220001220703125,18.21791648864746
2006-02-28,88.05149841308594,48.540802001953125,47.62884521484375,56.06999969482422,18.463674545288086
2006-03-01,88.83432006835938,48.44511413574219,47.341060638427734,56.099998474121094,18.42403793334961
2006-03-02,88.82746124267578,48.251468658447266,47.01146697998047,56.7400016784668,18.757001876831055
2006-03-03,88.41543579101562,48.134063720703125,46.7393913269043,56.279998779296875,18.931411743164062
2006-03-06,88.01034545898438,47.98145294189453,46.33128356933594,55.22999954223633,18.630155563354492
2006-03-07,87.87300109863281,48.00492477416992,46.36265182495117,54.95000076293945,18.30512237548828
2006-03-08,88.05836486816406,48.02833557128906,46.346981048583984,53.970001220703125,18.01179313659668
2006-03-09,87.4678726196289,48.075347900390625,46.36265182495117,54.2400016784668,18.19413185119629
2006-03-10,88.2987060546875,47.98145294189453,46.19002151489258,53.83000183105469,18.11485481262207
2006-03-13,88.46353149414062,47.94036102294922,46.15338897705078,54.310001373291016,18.352684020996094
2006-03-14,89.39054107666016,48.21621322631836,46.46208953857422,54.869998931884766,18.622230529785156
2006-03-15,89.7887954711914,48.1281623840332,46.21095275878906,55.119998931884766,18.416109085083008
2006-03-16,89.97418975830078,48.433406829833984,46.62948989868164,55.34000015258789,18.574663162231445
2006-03-17,90.04930877685547,48.33359146118164,46.48824691772461,55.119998931884766,18.487457275390625
2006-03-20,89.90457916259766,48.4275016784668,46.56149673461914,55.16999816894531,18.1069278717041
2006-03-21,89.33926391601562,48.22797775268555,46.32078552246094,54.83000183105469,18.170351028442383
2006-03-22,89.8838882446289,48.286659240722656,46.420204162597656,54.75,18.138635635375977
2006-03-23,89.69771575927734,48.16340637207031,46.273719787597656,54.70000076293945,18.44782066345215
2006-03-24,89.76668548583984,48.37472152709961,46.61379623413086,55.709999084472656,18.408178329467773
2006-03-27,89.63571166992188,48.26906967163086,46.44119644165039,56.38999938964844,18.519168853759766
2006-03-28,89.08417510986328,48.034244537353516,46.00688552856445,56.060001373291016,18.757001876831055
